                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.169,                 1.8382,                0.90223,                 1.1003,                 0.9206,                0.66684,                0.74456,                0.54149,                0.90612,                0.65741,                 0.7341,                0.52141,                0.95946,                 1.4921,                0.79563,                 1.0328,              0.0057925,              0.0057925,              0.0057925
                     36,                 1.1737,                 1.9414,                 0.9081,                 1.1217,                0.94095,                0.65963,                0.74362,                 0.5284,                0.93429,                0.65491,                0.73338,                0.51149,                0.96515,                 1.5144,                0.78912,                 1.0447,              0.0056688,              0.0056688,              0.0056688
                     37,                 1.1799,                 1.9502,                0.92553,                  1.105,                0.89594,                0.69163,                 0.7463,                0.54804,                0.95662,                0.64048,                0.74589,                0.52231,                0.90979,                 1.4366,                0.75238,                 1.0177,               0.005545,               0.005545,               0.005545
                     38,                 1.1864,                 1.8897,                0.90164,                 1.1223,                0.93884,                0.82724,                0.92558,                0.66771,                0.92186,                 0.8124,                0.92029,                0.63748,                0.93657,                 1.5035,                0.75599,                 1.0193,              0.0054212,              0.0054212,              0.0054212
                     39,                   1.18,                 1.9146,                  0.885,                 1.1003,                0.91372,                 0.8339,                0.92856,                0.66071,                0.90586,                0.84293,                0.92273,                0.63099,                 0.9408,                 1.5354,                0.75983,                 1.0268,              0.0052975,              0.0052975,              0.0052975
                     40,                 1.1598,                 1.8398,                 0.8579,                 1.0942,                0.94266,                0.67024,                0.75126,                0.55262,                0.89359,                 0.6909,                0.74952,                0.53025,                0.89086,                 1.4529,                0.75384,                 1.0149,              0.0051737,              0.0051737,              0.0051737
                     41,                   1.15,                 1.8337,                0.87562,                 1.0892,                0.89516,                0.85529,                0.92417,                0.66858,                 0.8672,                 0.8645,                0.91799,                0.64757,                0.97315,                 1.4257,                0.79022,                 1.0333,                0.00505,                0.00505,                0.00505
                     42,                 1.1812,                 1.8167,                0.89132,                 1.0964,                0.90664,                0.64084,                0.73075,                0.50799,                0.87772,                0.67125,                0.74337,                0.51103,                 1.0129,                 1.4947,                0.82604,                 1.0816,              0.0049263,              0.0049263,              0.0049263
                     43,                 1.1733,                 1.8186,                0.87417,                 1.0987,                0.90996,                0.83097,                0.92281,                0.67802,                0.91997,                0.80791,                0.92441,                0.65033,                0.91366,                 1.3942,                0.76563,                 1.0172,              0.0048025,              0.0048025,              0.0048025
                     44,                 1.1125,                 1.7412,                0.83796,                 1.0723,                 0.8966,                  0.831,                0.91454,                0.67837,                0.90697,                0.84042,                0.92703,                0.65025,                0.92186,                 1.3661,                0.75976,                 1.0158,              0.0046788,              0.0046788,              0.0046788
                     45,                 1.1207,                 1.7981,                0.84404,                 1.0813,                0.92662,                0.86379,                0.92496,                 0.6761,                0.93275,                0.86612,                0.93199,                 0.6502,                 0.9411,                 1.3816,                0.76254,                 1.0192,               0.004555,               0.004555,               0.004555
                     46,                 1.1165,                 1.7365,                0.84988,                  1.076,                0.90176,                0.68232,                0.74352,                0.53908,                0.91729,                0.68256,                0.75063,                0.52739,                  0.962,                 1.4514,                0.77233,                 1.0244,              0.0044313,              0.0044313,              0.0044313
                     47,                 1.1708,                 1.8379,                0.86638,                 1.0854,                 0.9002,                0.68631,                0.74422,                0.52747,                0.89479,                0.69583,                0.74798,                0.53027,                0.97363,                  1.443,                0.75856,                 1.0378,              0.0043075,              0.0043075,              0.0043075
                     48,                  1.161,                 1.8084,                 0.8524,                 1.0859,                0.92339,                0.81502,                0.91815,                0.66402,                0.92866,                0.81988,                0.91725,                0.65723,                0.94156,                 1.3776,                0.76612,                 1.0194,              0.0041837,              0.0041837,              0.0041837
                     49,                 1.1179,                 1.6965,                0.82111,                 1.0716,                0.92183,                0.84298,                0.93119,                0.68696,                0.92724,                0.82866,                0.92722,                0.66945,                0.92022,                 1.3596,                0.74309,                 1.0064,                0.00406,                0.00406,                0.00406
                     50,                 1.0883,                 1.7316,                0.81458,                 1.0671,                0.89146,                0.85412,                 0.9172,                0.68715,                0.90228,                0.85439,                0.92521,                0.67652,                0.90347,                 1.4074,                0.74759,                0.99765,              0.0039362,              0.0039362,              0.0039362
                     51,                   1.15,                 1.7742,                 0.8479,                 1.0691,                0.94817,                0.83517,                 0.9244,                0.66722,                0.93805,                0.82777,                0.92448,                0.65385,                0.94277,                 1.4826,                0.72203,                 1.0087,              0.0038125,              0.0038125,              0.0038125
                     52,                 1.1247,                 1.7764,                0.82712,                 1.0721,                 0.9433,                 0.8356,                 0.9354,                0.69544,                 0.9505,                0.85254,                0.95067,                0.66884,                0.87476,                 1.3907,                0.70104,                0.99127,              0.0036888,              0.0036888,              0.0036888
                     53,                 1.0994,                 1.7601,                0.82919,                   1.06,                0.96102,                0.85076,                0.94439,                0.69888,                0.94157,                0.87075,                0.94768,                0.66966,                0.89638,                 1.3694,                0.70915,                0.99545,               0.003565,               0.003565,               0.003565
                     54,                  1.105,                 1.7088,                0.82168,                 1.0655,                 0.9646,                0.84019,                0.94092,                 0.7079,                0.93092,                0.89016,                0.95278,                0.68685,                0.85559,                 1.3076,                0.70363,                0.98466,              0.0034413,              0.0034413,              0.0034413
                     55,                  1.099,                 1.7596,                0.82567,                 1.0608,                0.95241,                0.81421,                0.93296,                0.68243,                0.91508,                0.87047,                0.94502,                 0.6702,                0.96606,                 1.3635,                0.71722,                 1.0156,              0.0033175,              0.0033175,              0.0033175
                     56,                 1.0999,                 1.7812,                0.81254,                 1.0607,                0.91996,                0.68706,                0.75811,                 0.5534,                0.92319,                0.70003,                0.76413,                0.53579,                0.92939,                  1.366,                0.71545,                 1.0081,              0.0031938,              0.0031938,              0.0031938
                     57,                 1.1328,                 1.8345,                0.83278,                 1.0761,                0.96052,                0.82334,                 0.9331,                0.69733,                0.96782,                0.82754,                0.94009,                0.67991,                0.89251,                 1.3091,                0.69733,                0.99849,                0.00307,                0.00307,                0.00307
                     58,                 1.0541,                 1.6833,                0.79528,                 1.0468,                0.95998,                0.82652,                0.93408,                0.69405,                0.96722,                   0.83,                0.94108,                0.67551,                0.90388,                 1.3231,                0.69793,                 1.0001,              0.0029462,              0.0029462,              0.0029462
                     59,                 1.0925,                 1.6805,                0.80571,                 1.0587,                0.92509,                0.86744,                0.93254,                0.68637,                0.94632,                0.85082,                0.93099,                0.67862,                0.92052,                 1.3438,                0.69585,                 1.0096,              0.0028225,              0.0028225,              0.0028225
                     60,                 1.0947,                 1.7659,                0.80144,                 1.0588,                0.96229,                0.82855,                0.93428,                0.69859,                0.95029,                0.83407,                 0.9371,                0.66784,                0.89788,                 1.3941,                0.68854,                0.99497,              0.0026987,              0.0026987,              0.0026987
                     61,                 1.0534,                 1.7023,                0.78751,                 1.0414,                0.95394,                0.84171,                0.93208,                0.69469,                0.95914,                0.83861,                0.94321,                0.66638,                0.91952,                 1.4108,                0.69982,                 1.0146,               0.002575,               0.002575,               0.002575
                     62,                 1.0319,                 1.6053,                0.77424,                  1.042,                0.96808,                0.83091,                  0.933,                0.68963,                0.96665,                0.83424,                 0.9431,                0.67936,                 0.9075,                 1.3302,                0.69596,                 1.0055,              0.0024513,              0.0024513,              0.0024513
                     63,                 1.0679,                  1.674,                 0.7839,                 1.0436,                0.92835,                0.69296,                0.75802,                0.55031,                0.92259,                0.68972,                 0.7505,                0.53412,                0.92043,                 1.3944,                0.72107,                 1.0181,              0.0023275,              0.0023275,              0.0023275
                     64,                 1.1143,                 1.7524,                0.79985,                 1.0626,                0.90619,                0.69837,                0.75568,                 0.5506,                0.90801,                0.69869,                0.75604,                0.54252,                0.91684,                 1.3735,                0.72742,                 1.0177,              0.0022038,              0.0022038,              0.0022038
                     65,                 1.0327,                 1.6429,                0.76875,                 1.0441,                0.85196,                0.70133,                0.74395,                0.54522,                0.93918,                0.66112,                 0.7506,                0.53984,                0.93042,                 1.3463,                0.72532,                 1.0185,                0.00208,                0.00208,                0.00208
                     66,                 1.0344,                 1.5671,                0.76805,                  1.037,                0.89863,                0.86232,                0.92643,                0.68986,                0.90019,                0.87555,                0.94002,                0.67833,                0.91246,                  1.338,                0.68517,                 1.0025,              0.0019563,              0.0019563,              0.0019563
                     67,                 1.0281,                 1.6157,                0.76871,                  1.039,                0.94278,                0.85036,                 0.9426,                 0.6981,                0.95398,                0.84163,                0.93955,                 0.6776,                 0.8759,                 1.3637,                0.68381,                0.99404,              0.0018325,              0.0018325,              0.0018325
                     68,                 1.0317,                 1.6138,                 0.7694,                 1.0283,                0.95453,                0.84385,                0.94251,                0.69796,                0.93894,                0.84269,                0.93598,                 0.6746,                0.88271,                 1.3682,                0.68151,                0.99502,              0.0017087,              0.0017087,              0.0017087
                     69,                 1.0955,                 1.6573,                0.77898,                 1.0507,                0.92463,                0.86028,                0.93776,                0.69269,                0.92036,                0.87336,                0.94306,                0.67459,                0.89853,                 1.3583,                0.68367,                0.99584,               0.001585,               0.001585,               0.001585
                     70,                0.98192,                 1.4995,                0.75388,                 1.0433,                0.95368,                0.81637,                0.94031,                0.70679,                 0.9441,                0.80625,                0.93105,                0.67227,                0.87095,                 1.3754,                0.68013,                0.98698,              0.0014612,              0.0014612,              0.0014612
                     71,                0.97303,                 1.4533,                0.73698,                 1.0179,                0.95366,                0.83273,                 0.9461,                0.71129,                0.92895,                0.85633,                0.94061,                0.68297,                 0.8685,                  1.375,                0.67023,                0.97993,              0.0013375,              0.0013375,              0.0013375
                     72,                0.95918,                 1.4266,                0.73669,                 1.0175,                 0.9198,                0.86677,                0.94462,                0.70637,                0.92611,                0.87265,                0.94792,                 0.6852,                0.86497,                 1.3653,                0.66361,                0.98233,              0.0012138,              0.0012138,              0.0012138
                     73,                0.94952,                 1.4489,                0.73654,                 1.0118,                0.95008,                 0.8494,                0.94078,                0.70957,                0.94213,                0.85121,                0.93983,                0.68327,                0.83858,                 1.3463,                0.66622,                0.97727,                0.00109,                0.00109,                0.00109
                     74,                0.96553,                 1.4476,                0.73315,                 1.0142,                0.96774,                 0.8561,                 0.9396,                0.71276,                0.96041,                0.85341,                 0.9392,                0.69336,                0.85083,                 1.3362,                0.66288,                0.98431,             0.00096625,             0.00096625,             0.00096625
                     75,                0.96229,                  1.426,                0.73649,                 1.0262,                0.95489,                0.86977,                 0.9443,                0.71628,                0.94616,                0.86782,                0.94564,                0.69006,                0.84909,                 1.3461,                0.65905,                0.98271,              0.0008425,              0.0008425,              0.0008425
                     76,                0.97898,                 1.4654,                0.75241,                 1.0169,                0.93998,                0.87222,                0.94344,                0.71686,                0.93516,                0.87052,                0.93821,                0.69117,                0.84018,                 1.3405,                0.65283,                0.98135,             0.00071875,             0.00071875,             0.00071875
                     77,                0.96918,                 1.4253,                0.73797,                 1.0284,                0.94593,                0.87155,                0.94311,                0.72136,                0.92715,                0.88427,                0.94716,                0.69445,                0.84081,                 1.3379,                0.65321,                0.98041,               0.000595,               0.000595,               0.000595
                     78,                0.92649,                 1.3849,                0.71647,                 1.0069,                0.95385,                0.86184,                0.94463,                0.71973,                0.92672,                0.88132,                0.94881,                0.69868,                0.84426,                 1.3169,                0.65301,                0.98164,             0.00047125,             0.00047125,             0.00047125
                     79,                 0.9237,                 1.4075,                0.71326,                 1.0068,                0.95676,                0.85674,                0.94429,                0.71365,                0.92045,                0.88509,                 0.9484,                0.70058,                0.84439,                 1.3163,                0.65286,                0.98027,              0.0003475,              0.0003475,              0.0003475
